Rank,By_Strategic_Score,By_Efficiency,By_PCI,By_Density,By_COG
1,2841,2841,2841,4007,7318
2,7006,3705,3705,5806,8208
3,3705,7006,7506,8541,9027
4,8479,7506,8444,5501,8514
5,8444,8444,3707,8529,2926
6,3707,3707,7006,8534,9017
7,7506,8479,8113,6913,8413
8,9110,8113,8479,7604,8477
9,7221,7221,7221,4411,7225
10,3818,8456,8456,7319,2921
11,2919,2919,7107,8452,3911
12,8475,9110,2919,6810,2912
13,8456,7107,2843,9403,8479
14,8207,8207,8457,2834,7220
15,7318,2843,8207,4017,8483
16,8113,8457,2812,7308,8419
17,8542,3818,9110,8527,3002
18,7225,2812,3810,8542,3908
19,2912,3810,2850,3814,2920
20,7220,8475,7318,8470,8427
