Rank,product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,norm_efficiency,norm_pci,norm_density,norm_cog
1,2841,Salts of oxometallic acids,Salts of oxometallic or peroxometallic acids,3.472,0.136,0.864,4.013872832369942,0.002,0.7452801659433936,1.0,1.0,0.22608695652173935,0.0006277463904582548
2,7006,Worked glass,"Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enameled or otherwise worked, but not framed or fitted with other materials:",2.398,0.17700000000000005,0.823,2.9101941747572817,0.979,0.6750696274143722,0.7249514153646665,0.6905790838375109,0.5826086956521744,0.6139359698681732
3,3705,"Photographic film, developed","Photographic plates and film, exposed and developed, other than motion-picture film",2.826,0.11099999999999999,0.889,3.1752808988764043,0.956,0.6222604076823735,0.7910138763642253,0.8138864880437915,0.008695652173913052,0.5994978028876333
4,8479,Machines n.e.c.,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof",2.244,0.14,0.86,2.6062717770034847,1.429,0.5953638123560412,0.6492106870606711,0.6462114664361857,0.2608695652173916,0.896421845574388
5,8444,"Machines to extrude, cut manmade textile fibres","Machines to extrude, draw, cut manmade textile fibres",2.473,0.126,0.874,2.826285714285714,1.111,0.5927781532536913,0.7040405251046736,0.7121866897147796,0.13913043478260884,0.6967984934086628
6,3707,Chemical preparations for photographic uses,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use",2.441,0.136,0.864,2.821965317919075,0.804,0.5877011941768,0.702963835891277,0.7029674445404782,0.22608695652173935,0.5040803515379786
7,7506,Nickel plates,"Nickel plates, sheets, strip and foil",2.565,0.10999999999999999,0.89,2.878787878787879,1.183,0.5826570807617892,0.7171246288308869,0.738692019590896,0.0,0.7419962335216572
8,9110,"Clock movements, complete, unassembled","Complete watch or clock movements, unassembled or partly assembled (movement sets); incomplete watch or clock movements, assembled; rough watch or clock movements",1.926,0.17900000000000005,0.821,2.343065693430657,0.74,0.5662157842697432,0.5836169018997709,0.5545952175165658,0.6000000000000005,0.4639045825486503
9,7221,"Bars of stainless steel, hot-rolled","Bars and rods, stainless steel, hot-rolled, irreg coils",2.13,0.136,0.864,2.4624277456647397,1.225,0.5514092044706711,0.6133632083085292,0.6133679055027369,0.22608695652173935,0.768361581920904
10,3818,Chemical elements for electronics,Chemical element/compound wafers doped for electronic,1.865,0.16400000000000003,0.836,2.228195937873357,1.155,0.5494573360018236,0.5549901241094094,0.5370210314030539,0.4695652173913048,0.7244193345888261
11,2919,Phosporic esters,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulfonated, nitrated or nitrosated derivatives",2.042,0.14300000000000002,0.857,2.37995337995338,1.221,0.5475047423167542,0.5928097098774961,0.5880149812734082,0.2869565217391307,0.7658505963590709
12,8475,Machines for assembling electric lamps,"Machines for assembling electric or electronic lamps, tubes or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware; parts thereof",1.859,0.15500000000000003,0.845,2.1973995271867612,1.349,0.5423949408962943,0.5473153275436056,0.5352924229328724,0.39130434782608736,0.8462021343377275
13,8456,Machines for working materials by laser and similar means,"Machine tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron-beam, ionic-beam or plasma arc processes",2.073,0.133,0.867,2.3882488479262673,1.335,0.5407760178628123,0.5948770296621931,0.5969461250360126,0.2000000000000002,0.837413684871312
14,8207,Interchangeable tools for hand tools,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling,boring, broaching, milling, turning or screw driving), including dies for drawing or ext",1.977,0.14300000000000002,0.857,2.304195804195804,1.309,0.5398590921536965,0.5739301076999953,0.5692883895131087,0.2869565217391307,0.8210922787193973
15,7318,Screws and similar articles of iron or steel,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel",1.883,0.135,0.865,2.174364896073903,1.594,0.5227702578644252,0.541574849876951,0.5422068568135984,0.2173913043478263,1.0
16,8113,Cermets,"Cermets and articles thereof, including waste and scrap",2.271,0.11499999999999999,0.885,2.5632054176072234,0.985,0.5220541933165632,0.6384780873898932,0.6539902045520023,0.04347826086956526,0.6177024482109227
17,8542,Electronic integrated circuits,Electronic integrated circuits; parts thereof,1.491,0.19499999999999995,0.805,1.849875930521092,0.958,0.5209662322769746,0.4607087118126895,0.42927110342840685,0.7391304347826084,0.6007532956685498
18,7225,"Flat-rolled products of other alloy steel, width > 600 mm","Flat-rolled products of other alloy steel, of a width of 600 mm or more",1.809,0.14400000000000002,0.856,2.1108518086347723,1.448,0.5165302255068321,0.5257467058012649,0.5208873523480265,0.29565217391304377,0.9083490269930947
19,2912,Aldehydes,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",1.698,0.15500000000000003,0.845,2.00709219858156,1.43,0.514593735732851,0.49988869569062094,0.4889080956496687,0.39130434782608736,0.8970495919648461
20,7220,Flat-rolled products of stainless steel of a width < 600 mm,"Flat-rolled products of stainless steel, of a width of less than 600 mm",1.708,0.15300000000000002,0.847,2.0141509433962264,1.423,0.5122440026572354,0.5016478107710698,0.49178910976663787,0.3739130434782612,0.8926553672316384
